,method,rank,feature,occurence,fidelity
0,slack_adv_ko,1,CheckingAccountBalance_geq_0,0.010101010101010102,1.0
1,slack_adv_ko,1,CheckingAccountBalance_geq_200,0.020202020202020204,1.0
2,slack_adv_ko,1,Gender,0.5757575757575758,1.0
3,slack_adv_ko,1,HasCoapplicant,0.010101010101010102,1.0
4,slack_adv_ko,1,JobClassIsSkilled,0.010101010101010102,1.0
5,slack_adv_ko,1,LoanRateAsPercentOfIncome,0.0707070707070707,1.0
6,slack_adv_ko,1,Nothing shown,0.15151515151515152,1.0
7,slack_adv_ko,1,NumberOfLiableIndividuals,0.06060606060606061,1.0
8,slack_adv_ko,1,OtherLoansAtBank,0.04040404040404041,1.0
9,slack_adv_ko,1,OwnsHouse,0.030303030303030304,1.0
10,slack_adv_ko,1,SavingsAccountBalance_geq_100,0.010101010101010102,1.0
11,slack_adv_ko,1,Unemployed,0.010101010101010102,1.0
0,slack_adv_ko,2,CheckingAccountBalance_geq_0,0.010101010101010102,1.0
1,slack_adv_ko,2,CheckingAccountBalance_geq_200,0.04040404040404041,1.0
2,slack_adv_ko,2,Gender,0.020202020202020204,1.0
3,slack_adv_ko,2,HasCoapplicant,0.010101010101010102,1.0
4,slack_adv_ko,2,JobClassIsSkilled,0.04040404040404041,1.0
5,slack_adv_ko,2,LoanAmount,0.010101010101010102,1.0
6,slack_adv_ko,2,LoanDuration,0.010101010101010102,1.0
7,slack_adv_ko,2,LoanRateAsPercentOfIncome,0.13131313131313133,1.0
8,slack_adv_ko,2,MissedPayments,0.010101010101010102,1.0
9,slack_adv_ko,2,Nothing shown,0.48484848484848486,1.0
10,slack_adv_ko,2,NumberOfLiableIndividuals,0.0707070707070707,1.0
11,slack_adv_ko,2,OtherLoansAtBank,0.04040404040404041,1.0
12,slack_adv_ko,2,OwnsHouse,0.010101010101010102,1.0
13,slack_adv_ko,2,RentsHouse,0.020202020202020204,1.0
14,slack_adv_ko,2,SavingsAccountBalance_geq_100,0.04040404040404041,1.0
15,slack_adv_ko,2,Single,0.030303030303030304,1.0
16,slack_adv_ko,2,YearsAtCurrentHome,0.010101010101010102,1.0
17,slack_adv_ko,2,YearsAtCurrentJob_geq_4,0.010101010101010102,1.0
0,slack_adv_ko,3,Age,0.010101010101010102,1.0
1,slack_adv_ko,3,CheckingAccountBalance_geq_0,0.04040404040404041,1.0
2,slack_adv_ko,3,CheckingAccountBalance_geq_200,0.050505050505050504,1.0
3,slack_adv_ko,3,HasCoapplicant,0.030303030303030304,1.0
4,slack_adv_ko,3,HasGuarantor,0.010101010101010102,1.0
5,slack_adv_ko,3,JobClassIsSkilled,0.010101010101010102,1.0
6,slack_adv_ko,3,LoanDuration,0.010101010101010102,1.0
7,slack_adv_ko,3,LoanRateAsPercentOfIncome,0.04040404040404041,1.0
8,slack_adv_ko,3,MissedPayments,0.010101010101010102,1.0
9,slack_adv_ko,3,NoCurrentLoan,0.010101010101010102,1.0
10,slack_adv_ko,3,Nothing shown,0.5252525252525253,1.0
11,slack_adv_ko,3,NumberOfLiableIndividuals,0.010101010101010102,1.0
12,slack_adv_ko,3,NumberOfOtherLoansAtBank,0.030303030303030304,1.0
13,slack_adv_ko,3,OtherLoansAtBank,0.09090909090909091,1.0
14,slack_adv_ko,3,OwnsHouse,0.020202020202020204,1.0
15,slack_adv_ko,3,RentsHouse,0.010101010101010102,1.0
16,slack_adv_ko,3,SavingsAccountBalance_geq_100,0.050505050505050504,1.0
17,slack_adv_ko,3,SavingsAccountBalance_geq_500,0.020202020202020204,1.0
18,slack_adv_ko,3,Single,0.030303030303030304,1.0
19,slack_adv_ko,3,YearsAtCurrentHome,0.010101010101010102,1.0
20,slack_adv_ko,3,YearsAtCurrentJob_geq_4,0.010101010101010102,1.0
